datasheet_link,target_col
https://lfillumination.com/files/specsheets/EF408B-Light-Unit.pdf,lighting
https://lfillumination.com/files/specsheets/EF411B.PDF,lighting
https://lfillumination.com/files/specsheets/EF407B-Light-Unit.pdf,lighting
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/5221_SPSHT.pdf,lighting
https://www.acuitybrands.com/api/products/getasset/healthcare-lighting/1626980/677116f7-4592-4516-9d8c-eae892e07331/hdmc.pdf?abl_version=02%2f23%2f2023+18%3a13%3a41&DOC_Type=SPEC_SHEET,lighting
https://www.acuitybrands.com/api/products/getasset/holophane/1649332/4408a251-09be-4b61-813f-177b3ebcf10c/holophane-care222-hldmpc-cylinder-pendant-with-cord.pdf?abl_version=01%2f12%2f2023+16%3a54%3a24&DOC_Type=SPEC_SHEET,lighting
https://lfillumination.com/files/specsheets/KATRPB-Pendant.pdf,lighting
https://lfillumination.com/files/specsheets/JULRPB-Pendant.pdf,lighting
https://www.focalpointlights.com/sites/default/files/FLCY3__Q.pdf,lighting
https://www.signify.com/api/assets/v1/file/Signify/content/cbd5621f152243918593ab840107e6c6/D2L.pdf,lighting
https://juno.acuitybrands.com/api/products/getasset/juno/927706/f13a0378-46e9-4980-9e9f-3c308e164fa7/ic1jbpf_4jbldt.pdf?abl_version=08%2f14%2f2022+08%3a12%3a45&DOC_Type=SPEC_SHEET,lighting
https://lithonia.acuitybrands.com/api/products/getasset/lithonia-lighting/933404/0b5845d2-0005-4895-90c2-734a37c509d5/6sl-led-l-spkr.pdf?abl_version=01%2f11%2f2023+19%3a11%3a30&DOC_Type=SPEC_SHEET,lighting
https://nlight.acuitybrands.com/api/products/getasset/gotham-lighting/1657543/4577a19f-bbd5-4c5d-bc45-4fa763f75037/evo6sqm.pdf?abl_version=12%2f13%2f2022+00%3a24%3a00&DOC_Type=SPEC_SHEET,lighting
https://lfillumination.com/files/specsheets/MF12BNS-2-Light-Trimless-LED.pdf,lighting
https://lfillumination.com/files/specsheets/MF31DSRT-1-Light-Remodel-Trimmed-LED.pdf,lighting
https://lfillumination.com/files/specsheets/MF31CSRS-1-Light-Remodel-Trimless-LED.pdf,lighting
https://lfillumination.com/files/specsheets/MN31DNS-1-Light-Trimless.pdf,lighting
https://lfillumination.com/files/specsheets/MN31CNS-1-Light-Trimless.pdf,lighting
https://lfillumination.com/files/specsheets/MN34BNS-1-Light-Trimless.pdf,lighting
https://cdn.currentlighting.com/site/specsheet/COL_KHL_spec.pdf,lighting
https://beghelliusa.com/wp-content/uploads/2022/05/testa_spec.pdf,lighting
https://media.iuseelite.com/specsheet2/sl2.pdf,lighting
https://media.iuseelite.com/specsheet2/sl1.pdf,lighting
https://media.iuseelite.com/specsheet2/rl417.pdf,lighting
https://media.iuseelite.com/specsheet2/rl617.pdf,lighting
https://www.acuitybrands.com/api/products/getasset/healthcare-lighting/304895/9d734fa1-ead9-411b-9448-3c6c1b538cae/hnl600.pdf?abl_version=01%2f03%2f2023+14%3a28%3a43&DOC_Type=SPEC_SHEET,lighting
https://bklighting.com/collaterals/specs/specs-1446.pdf,lighting
https://bklighting.com/collaterals/specs/specs-759.pdf,lighting
https://bklighting.com/collaterals/specs/specs-1448.pdf,lighting
https://bklighting.com/collaterals/specs/specs-1326.pdf,lighting
https://www.pinnacle-ltg.com/sites/default/files/2023-02/EX1B_LED_SPEC.pdf,lighting
https://www.focalpointlights.com/sites/default/files/FARL_14__AB.pdf,lighting
https://www.acuitybrands.com/api/products/getasset/aculux/655780/0f1f94af-cb4e-42fb-a5c0-bcf54a0bb37d/ax2sq-a-2a-3a-g2.pdf?abl_version=01%2f11%2f2023+00%3a10%3a38&DOC_Type=SPEC_SHEET,lighting
https://www.acuitybrands.com/api/products/getasset/healthcare-lighting/304770/b3483caf-91ba-4cd6-a8c1-f928aa2a1617/hnl7.pdf?abl_version=03%2f09%2f2023+21%3a24%3a57&DOC_Type=SPEC_SHEET,lighting
https://media.iuseelite.com/specsheet2/ech-hl-1001.pdf,lighting
https://www.acuitybrands.com/api/products/getasset/healthcare-lighting/1311203/38b21d68-91b8-4ed4-be59-72a0b904381b/hxms.pdf?abl_version=07%2f01%2f2022+18%3a58%3a32&DOC_Type=SPEC_SHEET,lighting
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/8000-06BK_SPSHT.PDF,lighting
https://media.iuseelite.com/specsheet2/lunar-led.pdf,lighting
https://lithonia.acuitybrands.com/api/products/getasset/lithonia-lighting/1250116/b7274111-9af8-4298-8280-c23960cd45e7/barnguard-contractor-select-spec-sheet.pdf?abl_version=02%2f28%2f2023+18%3a13%3a38&DOC_Type=SPEC_SHEET,lighting
https://lfillumination.com/files/specsheets/VF100-VFS-2BA-T-LED.pdf,lighting
https://www.pinnacle-ltg.com/sites/default/files/2023-02/EV2D_LED_SPEC.pdf,lighting
https://www.pinnacle-ltg.com/sites/default/files/2023-02/EV1_LED_SPEC.pdf,lighting
https://lfillumination.com/files/specsheets/GlowSTX-Ringer-Suspended-Round.pdf,lighting
https://lfillumination.com/files/specsheets/1431-Round-Fixed-Wall-Wash-Trim.pdf,lighting
https://lfillumination.com/files/specsheets/2431_Round_Wall-Wash_Trim.pdf,lighting
https://nlight.acuitybrands.com/api/products/getasset/lithonia-lighting/1014680/5b5d1100-92c2-4972-836b-66a435af269d/fex-led.pdf?abl_version=03%2f09%2f2023+19%3a30%3a24&DOC_Type=SPEC_SHEET,lighting
